YEAR,MONTH,Nord,Centru,Sud,Solar_Nord,Solar_Centru,Solar_Sud
2015,JAN,6.47,6.37,6.14,0.8604,0.9185,1.1306
2015,FEB,5.6,5.86,6.15,1.8156,1.8619,1.9694
2015,MAR,5.72,5.92,6.11,3.0946,3.023,3.1454
2015,APR,7.04,7.15,7.12,4.3944,4.6706,4.9872
2015,MAY,5.53,5.42,5.31,5.8308,6.1548,6.1997
2015,JUN,5.25,5.34,5.38,6.7315,7.0416,6.8095
2015,JUL,4.97,5.14,4.76,6.072,6.3979,6.6797
2015,AUG,4.38,4.88,4.87,5.6448,5.5572,5.4521
2015,SEP,5.67,5.78,5.76,3.3634,3.9497,4.2799
2015,OCT,5.5,5.56,5.46,2.437,2.6371000000000002,2.5282
2015,NOV,6.36,6.7,6.26,1.1556,1.2254,1.565
2015,DEC,6.06,5.86,5.32,0.9924,1.1251,1.3908
2016,JAN,6.42,6.54,6.46,1.0541,1.1213,1.343
2016,FEB,6.85,6.71,6.3,1.7134,1.7933,2.0602
2016,MAR,6.09,6.32,6.03,2.837,3.0919,3.1488
2016,APR,5.69,5.73,5.49,4.7712,4.7045,4.8715
2016,MAY,4.8,4.87,4.77,5.2102,5.4101,5.4595
2016,JUN,5.19,5.2,5.11,5.7478,5.9914,6.4006
2016,JUL,5.77,5.4,5.08,6.3475,6.6122,6.9725
2016,AUG,5.07,5.4,5.34,5.4413,5.5512,5.7206
2016,SEP,4.78,5.03,4.91,3.931,4.1198,4.4227
2016,OCT,6.91,6.54,5.93,1.813,2.1684,2.3155
2016,NOV,6.34,6.23,6.08,0.9595,1.1215,1.345
2016,DEC,7.31,6.99,6.78,0.8244,0.9437,1.2233
2017,JAN,6.55,6.58,6.8,1.015,1.2828,1.2677
2017,FEB,6.02,6.21,6.09,2.0311,1.8871,2.1058
2017,MAR,6.64,6.66,6.73,2.9815,3.2666,3.431
2017,APR,6.94,7.16,6.87,4.698,4.6565,4.6944
2017,MAY,5.21,5.47,5.28,5.6431,6.211,6.1517
2017,JUN,5.87,5.89,5.39,6.4366,6.756,6.7992
2017,JUL,5.09,5.08,4.97,6.0619,6.2906,6.5914
2017,AUG,4.96,5.11,5.51,5.3858,5.6486,5.993
2017,SEP,5.95,5.82,5.6,3.5645,4.1383,4.5869
2017,OCT,6.83,6.89,6.36,2.1694,2.0657,2.6542
2017,NOV,5.19,5.29,5.1,0.8798,0.9986,1.2485
2017,DEC,6.88,6.59,6.25,0.6389,0.7298,1.1364
2018,JAN,5.73,5.9,5.76,1.0987,1.1724,1.3337
2018,FEB,5.5,5.85,6,1.7863,1.7556,1.6181
2018,MAR,5.75,5.87,5.44,2.9146,2.8195,2.6482
2018,APR,6.65,6.42,6.09,5.3122,5.3314,5.6909
2018,MAY,5.76,5.52,5.61,6.211,6.5078,6.3934
2018,JUN,4.93,4.85,4.62,5.4317,5.959,6.5554
2018,JUL,4.78,4.62,4.31,5.5387,5.886,5.8315
2018,AUG,4.35,4.49,4.75,5.8558,6.2808,6.4123
2018,SEP,5.41,5.69,5.8,3.7426,3.7649,4.1762
2018,OCT,5.89,6.09,5.93,2.7946,2.9844,3.1361
2018,NOV,5.81,5.31,5.47,1.0262,1.0332,1.0584
2018,DEC,5.96,6.14,5.92,0.7445,0.7692,1.0058
2019,JAN,5.85,6.23,6.34,0.9286,0.9355,1.1717
2019,FEB,6.9,6.7,6.49,1.7779,1.6699,2.1079
2019,MAR,6.69,6.79,6.33,3.0934,3.3698,4.0538
2019,APR,6.6,6.02,6.04,4.4438,4.5077,4.6056
2019,MAY,5.28,5.44,5.43,4.7974,5.1461,5.5781
2019,JUN,4.53,5.14,5.3,6.7519,6.745,6.7327
2019,JUL,5,4.82,4.53,5.8126,6.0922,6.277
2019,AUG,4.64,4.98,4.98,5.4485,5.7449,6.1474
2019,SEP,5.4,5.33,5.32,4.0908,4.2247,4.3608
2019,OCT,4.52,4.9,4.73,2.3882,2.4838,2.724
2019,NOV,6.9,6.59,6.29,1.055,1.1998,1.4623
2019,DEC,6,6,6.06,0.8863,0.9449,1.277
2020,JAN,6.16,6.07,5.83,1.1357,1.2658,1.4878
2020,FEB,6.96,7.25,7.15,1.8506,2.1636,2.5078
2020,MAR,6.08,6.79,7.02,3.1968,3.5892,3.7543
2020,APR,5.68,5.99,5.83,5.3844,5.5848,5.8586
2020,MAY,6.28,6.13,6.3,4.6954,4.4916,5.341
2020,JUN,4.21,4.39,4.01,5.7487,6.2594,6.3281
2020,JUL,4.71,4.78,4.73,5.6818,6.4486,6.8731
2020,AUG,5.37,5.34,5.31,5.8824,6.126,6.1882
2020,SEP,5.57,5.7,5.7,4.3344,4.5408,4.7035
2020,OCT,5.24,5.19,5.02,1.8242,2.2176,2.669
2020,NOV,4.69,4.86,4.76,0.98740000000000006,1.1258,1.423
2020,DEC,5.74,5.78,5.72,0.5748,0.6134,0.7567
2021,JAN,5.88,5.97,5.83,0.9996,1.0776,1.151
2021,FEB,6.37,6.44,6.08,1.8314,1.8907,2.0623
2021,MAR,6.08,6.14,6.21,2.9357,3.1865,3.1306
2021,APR,5.05,5.05,4.89,4.1873,4.1578,4.3505
2021,MAY,5.79,5.59,5.51,5.291,5.1698,5.6201
2021,JUN,5.64,5.96,6.03,5.8958,5.7905,5.8577
2021,JUL,4.79,4.66,4.72,6.113,6.245,6.7968
2021,AUG,4.63,5.01,4.79,5.297,5.4456,6
2021,SEP,5.78,5.61,5.25,3.6636,3.919,4.3903
2021,OCT,5.85,5.46,5.33,2.9018,2.8699,2.7511
2021,NOV,6.27,6.06,5.89,1.2996,1.464,1.5588
2021,DEC,6.38,6.69,6.81,0.5611,0.6696,0.9362
2022,JAN,8.48,7.97,7.78,0.9948,1.1362,1.4174
2022,FEB,6.57,6.41,6.7,1.9529,2.1852,2.3628
2022,MAR,5.85,6.37,6.85,3.4834,3.4075,3.5522
2022,APR,6.18,6.55,6.69,4.0483,4.0658,4.8156
2022,MAY,5.64,5.58,5.05,6.0413,6.167,6.4572
2022,JUN,5.43,5.47,5.33,6.571,6.4198,6.3278
2022,JUL,5.52,5.42,5.17,5.7665,6.2666,6.6583
2022,AUG,5.03,5.07,5.34,4.6392,4.8238,5.5118
2022,SEP,5.3,5.65,5.32,2.8704,3.301,4.1021
2022,OCT,5.71,5.7,5.37,2.5454,2.8613,3.1848
2022,NOV,5.33,5.48,5.34,0.9665,1.0817,1.4386
2022,DEC,5.27,5.64,5.69,0.7111,0.8436,1.0529
2023,JAN,6.55,6.87,6.99,0.7958,0.9082,1.0812
2023,FEB,7.3,7.25,7.39,1.8012,1.9411,2.0746000000000002
2023,MAR,6.29,6.37,6.14,3.0708,3.162,3.3182
2023,APR,5.99,6.37,6.76,3.2431,3.0449,3.7939
2023,MAY,5.43,5.36,5.6,5.7914,5.825,5.8486
2023,JUN,4.92,5.11,4.98,5.6892,6.2028,6.3979
2023,JUL,4.78,5.32,5.24,6.0607,6.0828,6.2918
2023,AUG,4.62,5.02,4.92,5.7444,5.7446,5.9114
2023,SEP,5.32,5.59,5.77,4.1986,4.4825,4.7712
2023,OCT,6.03,6.57,6.4,2.3974,2.7907,3.2138
2023,NOV,6.84,7.19,7.02,1.1076,1.2658,1.5254
2023,DEC,6.34,6.27,6.35,0.8095,0.8441,1.1112
2024,JAN,7.07,7.07,6.97,1.0781,1.2053,1.3937
2024,FEB,7.32,7.21,6.89,1.741,1.8607,2.1439
2024,MAR,6.16,6.1,5.84,2.723,2.8747,2.8992
2024,APR,5.96,5.94,5.78,4.4926,4.6867,4.8554
2024,MAY,5.92,5.99,5.64,6.1097,6.1428,6.1793
2024,JUN,4.85,4.61,4.78,6.4174,6.4862,6.8743
2024,JUL,4.79,5,5.17,6.0691,6.3739,6.7522
2024,AUG,4.48,5.11,5.2,5.4792,5.3081,5.5241
2024,SEP,6.34,6.14,6.09,3.6694,3.845,3.9814
2024,OCT,5.06,5.45,5.4,2.3417,2.5949,2.988
2024,NOV,5.57,5.86,5.49,1.3015,1.4414,1.7297
2024,DEC,6.38,6.62,6.52,0.6943,0.7543,0.996
2025,JAN,5.83,5.85,5.52,1.0541,1.2463,1.5754
2025,FEB,5.07,5.25,5.47,2.0393,2.1883,2.2411
2025,MAR,6.32,6.43,6.05,3.0396,3.048,3.2606
2025,APR,6.05,5.98,5.75,4.7124,5.1329,5.2517
2025,MAY,5.62,5.58,5.38,4.0498,4.897,5.5934
2025,JUN,6.44,6.71,6.07,6.5431,6.955,7.3394
2025,JUL,4.83,5.24,4.86,6.0586,6.3355,6.7769
